"Year","Y0","Heritability","Race"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,0.300137,"Mesoamerican"
1986,3,0.4093481,"Mesoamerican"
1986,3,0.2098709,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,0.8275554,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,0.5062669,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,0.3297608,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,0.394173,"Mesoamerican"
1986,3,0.7815922,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,0.5241981,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,0,"Nueva Granada"
1986,3,7.85e-19,"Nueva Granada"
1986,3,NA,"Nueva Granada"
1986,3,NA,"Nueva Granada"
1986,3,NA,"Nueva Granada"
1986,3,NA,"Nueva Granada"
1986,3,NA,"Nueva Granada"
1986,3,NA,"Nueva Granada"
1986,3,0.2406039,"Nueva Granada"
1986,3,0.02545781,"Nueva Granada"
1986,3,NA,"Nueva Granada"
1986,3,NA,"Nueva Granada"
1986,3,0.2672741,"Nueva Granada"
1986,3,NA,"Nueva Granada"
1986,3,0.1576505,"Nueva Granada"
1986,3,0,"Nueva Granada"
1986,3,0.4048547,"Nueva Granada"
1986,3,0.4136241,"Nueva Granada"
1986,3,NA,"Nueva Granada"
1986,3,NA,"Nueva Granada"
1986,3,0.4719145,"Nueva Granada"
